tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2015,330,18,5,4,3101,6.92076756280693,8.81609151490994,7.86842953885843
2016,330,22,4,4,3105,6.54696076733028,8.3966785241351,7.47181964573269
2017,330,04,5,4,3134,7.96844973518204,9.96545735997803,8.93426930440332
2015,330,22,5,4,3142,7.2513678335919,9.17129289206055,8.21133036282623
2015,330,04,5,4,3147,7.99317330955031,9.99220959480304,8.99269145217668
2012,330,22,5,4,3158,7.42436788819167,9.35840601934475,8.39138695376821
2017,330,04,4,4,3158,7.69753385992411,9.657586301936,8.64471184293857
2012,330,04,4,4,3181,8.41534946210015,10.4466436218357,9.43099654196793
2017,330,22,5,4,3182,7.01495431933572,8.89142569795147,7.91954745443118
2013,330,23,1,4,3183,6.32639666705374,8.12537838792584,7.22588752748979
2016,330,08,5,4,3190,6.75620021529008,8.60430135210804,7.68025078369906
2016,330,24,5,4,3194,8.94763304653175,11.0273199904125,9.98747651847214
2017,330,24,5,4,3207,9.38769369304103,11.5015777283435,10.414717804802
2015,330,04,4,4,3208,8.34408080040728,10.3591610948546,9.35162094763092
2013,330,22,5,4,3212,6.56264741437722,8.38131273506238,7.4719800747198
2013,330,24,5,4,3224,8.30241436347665,10.3080074727516,9.30521091811414
2014,330,08,5,4,3245,6.23391227564577,8.00337585994745,7.11864406779661
2014,330,22,5,4,3246,7.01770741802139,8.87878056719118,7.94824399260628
2017,330,22,4,4,3250,6.66428370707787,8.47961105514022,7.53846153846154
2012,330,08,5,4,3267,5.3284537985997,6.97641305172169,6.1524334251607
2013,330,04,4,4,3275,8.81229918695973,10.8518229504448,9.83206106870229
2015,330,03,5,4,3279,10.3178565104665,12.4939763654103,11.4059164379384
2014,330,04,4,4,3284,8.41069721474247,10.4078167925657,9.40925700365408
2014,330,24,5,4,3293,9.51784356426581,11.6178989197913,10.5678712420285
2012,330,03,5,4,3329,10.3922199074972,12.5576148777236,11.4749173926104
2017,330,08,4,4,3338,7.1955953378612,9.04543112312589,8.08867585380467
2014,330,18,4,4,3346,5.87584264130433,7.57305156072794,6.72444710101614
2012,330,13,5,4,3350,8.27242072191823,10.2350419646489,9.25373134328358
2017,330,03,4,4,3363,11.026666890089,13.2307467536331,12.102289622361
2015,330,24,5,4,3366,9.99248291794114,12.110903891328,11.0516934046346
2015,330,22,4,4,3373,7.14514081922615,8.98293507760161,8.06403794841388
2015,330,08,4,4,3379,6.34832612182224,8.09381652393094,7.22107132287659
